1;WORLD;900;5744213;6143494;6541907;6956824;7379797;7794799;2680895;2892142;3093434;3296485;3507704;3720696;3929974;2646336;2852071;3050060;3245422;3449120;3659101;3864825
2;Sub-Saharan Africa;947;560759;639661;729733;836364;958577;1094366;244051;278800;318001;362946;416386;477837;546156;246554;281960;321660;366787;419978;480740;548210
3;Northern Africa and Western Asia;1833;323178;355882;391986;435367;481520;525869;145659;163624;179942;199133;222727;246800;270179;142402;159554;175940;192852;212640;234720;255690
4;Central and Southern Asia;921;1376200;1511915;1647074;1775361;1896327;2014709;640532;711481;781527;851430;916462;977497;1037598;599453;664718;730389;795644;858898;918830;977111
5;Eastern and South-Eastern Asia;1832;1950220;2044789;2125348;2201807;2279490;2346709;933103;989642;1037057;1078363;1117990;1156649;1189407;904696;960578;1007732;1046986;1083816;1122841;1157302
6;Latin America and the Caribbean;1830;483018;521836;557501;591352;623934;653962;219608;238982;257773;274945;291416;307137;321629;223232;244036;264064;282556;299936;316797;332334
7;Oceania (excluding Australia and New Zealand);1835;7722;8575;9376;10348;11312;12356;3541;3934;4362;4770;5264;5760;6295;3399;3788;4213;4606;5084;5552;6061
8;Australia and New Zealand;927;21668;22850;24314;26525;28547;30322;10128;10762;11368;12096;13225;14194;15069;10231;10906;11483;12218;13300;14353;15253
9;Europe and Northern America;1829;1021448;1037985;1056575;1079700;1100090;1116506;484274;494916;503406;512802;524233;534822;543641;516370;526532;534579;543773;555468;565268;572864
10;Developed regions;901;1169481;1188359;1209215;1234768;1256622;1273304;555759;567868;577398;587784;600332;611553;620463;589749;601614;610962;621431;634435;645069;652841
11;Less developed regions;902;4574731;4955134;5332692;5722056;6123175;6521494;2125137;2324274;2516036;2708701;2907371;3109143;3309511;2056587;2250458;2439098;2623991;2814685;3014031;3211984
12; Less developed regions, excluding least developed countries;934;3995050;4297919;4588501;4885441;5182043;5464056;1872569;2034700;2188232;2337588;2490940;2641219;2783494;1802879;1960350;2109687;2250914;2394502;2540824;2680562
13; Less developed regions, excluding China;948;3305985;3635583;3971957;4322553;4684981;5050208;1507663;1673436;1839235;2010240;2188768;2371247;2555677;1470626;1632549;1796348;1961718;2133785;2313734;2494530
14;Least developed countries;941;579682;657216;744191;836615;941131;1057438;252568;289574;327804;371114;416432;467924;526016;253708;290108;329412;373077;420183;473207;531422
15;Land-locked Developing Countries (LLDC);1636;298698;333947;374685;420661;473817;533143;131642;148354;165593;185930;208698;234664;264412;134210;150345;168354;188755;211963;239153;268731
16;Small island developing States (SIDS);1637;53769;57577;61002;65206;68810;72028;24858;26853;28747;30480;32734;34588;36304;24913;26916;28830;30521;32472;34222;35724
17;High-income countries;1503;1065242;1098780;1135351;1177929;1212054;1238417;507042;524650;541460;560854;584201;602334;616907;523349;540593;557321;574497;593728;609720;621510
18;Middle-income countries;1517;4326140;4640682;4941374;5244984;5561737;5867349;2022710;2192391;2351430;2504310;2658070;2816609;2969627;1968863;2133749;2289252;2437064;2586914;2745128;2897722
19; Upper-middle-income countries;1502;2365034;2483516;2589938;2695485;2811079;2913154;1121608;1191119;1250151;1304013;1357177;1414522;1464474;1103761;1173915;1233365;1285925;1338308;1396557;1448679
20; Lower-middle-income countries;1501;1961106;2157165;2351435;2549498;2750658;2954195;901102;1001272;1101279;1200297;1300893;1402087;1505153;865102;959834;1055887;1151139;1248606;1348571;1449042
21;Low-income countries;1500;350774;401768;462680;531260;603234;686089;150213;174086;199429;230093;264140;300400;342004;153177;176688;202340;232587;267120;302835;344086
22; AFRICA;903;717270;810984;916154;1039304;1182439;1340598;314377;357598;404163;456648;518253;590281;669878;315972;359673;406821;459506;521051;592158;670720
23;Eastern Africa;910;223934;257353;295185;339318;389671;445406;97877;110939;127369;146040;167966;193128;221040;99291;112995;129985;149145;171352;196543;224366
24; Burundi;108;5987;6379;7365;8676;10160;11891;2665;2925;3132;3629;4288;5031;5900;2774;3062;3247;3736;4388;5129;5991
25; Comoros;174;475;542;612;690;777;870;206;239;273;308;348;392;439;205;237;270;304;342;385;431
26; Djibouti;262;630;718;783;840;914;988;297;317;361;394;447;483;519;293;313;357;390;393;431;469
27; Eritrea;232;2204;2292;2827;3170;3343;3546;1130;1097;1141;1410;1584;1674;1778;1129;1107;1151;1416;1586;1668;1769
28; Ethiopia;231;57048;66225;76346;87640;100835;114964;23880;28441;33019;38074;43727;50409;57517;24007;28607;33205;38272;43912;50427;57447
29; Kenya;404;27768;31965;36625;42031;47878;53771;11820;13811;15867;18172;20869;23783;26719;11905;13958;16098;18453;21162;24096;27053
30; Madagascar;450;13475;15767;18337;21152;24234;27691;5791;6716;7850;9130;10536;12082;13815;5808;6760;7916;9206;10615;12152;13876
31; Malawi;454;9844;11149;12626;14540;16745;19130;4662;4883;5504;6215;7154;8250;9434;4742;4962;5645;6411;7385;8495;9696
32; Mauritius*;480;1129;1185;1222;1248;1259;1272;527;563;588;606;619;624;627;529;566;597;616;629;636;644
33; Mayotte*;175;123;150;178;209;240;273;48;63;76;88;102;118;134;46;61;74;90;107;122;139
34; Mozambique;508;15483;17712;20494;23532;27042;31255;6205;7381;8469;9848;11351;13092;15188;6782;8102;9243;10646;12180;13950;16067
35; R�union*;638;674;737;792;831;863;895;299;329;360;388;402;418;433;312;345;377;403;428;445;462
36; Rwanda;646;5836;7934;8840;10039;11369;12952;3595;2838;3876;4326;4921;5583;6367;3694;2998;4058;4515;5118;5786;6585
37; Seychelles;690;77;81;89;91;95;98;35;38;40;44;47;49;50;35;38;41;44;44;46;48
38; Somalia;706;7492;8872;10447;12044;13797;15893;3630;3757;4443;5226;6016;6883;7924;3595;3735;4429;5220;6028;6914;7969
39; South Sudan;728;5118;6199;7536;9508;10716;11194;2730;2546;3088;3760;4752;5360;5603;2763;2572;3112;3776;4756;5355;5591
40; Uganda;800;20413;23650;27685;32428;38225;45741;8619;10085;11643;13639;15915;18776;22547;8736;10328;12007;14046;16513;19450;23194
41; United Republic of Tanzania*;834;29649;33499;38450;44347;51483;59734;12541;14752;16661;19138;22119;25696;29851;12663;14897;16838;19312;22227;25787;29883
42; Zambia;894;9097;10416;11856;13606;15879;18384;4006;4518;5164;5861;6719;7857;9103;4031;4579;5252;5995;6887;8022;9281
43; Zimbabwe;716;11411;11881;12077;12698;13815;14863;5191;5641;5814;5784;6049;6569;7092;5241;5770;6067;6293;6649;7246;7771
44;Middle Africa;911;83775;96116;112008;131622;154203;179595;35103;41558;47729;55693;65530;76881;89622;35752;42217;48387;56316;66092;77323;89973
45; Angola;24;13945;16395;19434;23356;27884;32866;5937;6960;8155;9639;11549;13791;16261;5912;6985;8240;9794;11807;14093;16605
46; Cameroon;120;13600;15514;17733;20341;23298;26546;5856;6768;7722;8837;10154;11641;13277;5924;6832;7792;8896;10187;11657;13269
47; Central African Republic;140;3223;3640;4038;4387;4493;4830;1382;1589;1795;1996;2172;2227;2394;1424;1634;1845;2043;2215;2267;2436
48; Chad;148;7010;8356;10097;11952;14111;16426;2958;3483;4159;5031;5962;7042;8200;3006;3527;4197;5065;5990;7069;8226
49; Congo;178;2708;3127;3623;4274;4856;5518;1159;1332;1543;1796;2126;2423;2757;1198;1375;1584;1827;2147;2434;2761
50; Democratic Republic of the Congo;180;41576;47106;54786;64564;76245;89561;17079;20574;23359;27222;32142;38020;44710;17533;21003;23747;27564;32422;38225;44851
51; Equatorial Guinea;226;497;606;750;944;1169;1403;208;252;314;398;513;646;780;211;245;292;352;430;523;623
52; Gabon;266;1085;1228;1391;1624;1948;2226;466;535;610;695;822;992;1133;484;550;618;695;802;956;1093
53; Sao Tome and Principe;678;132;142;157;180;199;219;59;65;70;78;90;100;110;60;67;72;80;90;100;109
54;Northern Africa;912;156511;171323;186421;202940;223862;246233;70326;78798;86162;93703;101867;112444;123723;69419;77713;85161;92719;101073;111418;122510
55; Algeria;12;28758;31042;33150;35977;39728;43851;13036;14564;15731;16766;18161;20064;22154;12723;14194;15311;16384;17816;19664;21697
56; Egypt;818;62334;68832;75524;82761;92443;102334;28207;31389;34650;38098;41806;46718;51703;27928;30945;34181;37426;40955;45725;50632
57; Libya;434;4949;5358;5799;6198;6418;6871;2339;2592;2781;2990;3164;3248;3469;2098;2357;2577;2809;3033;3170;3403
58; Morocco;504;26994;28794;30456;32343;34664;36911;12376;13427;14269;15045;15947;17171;18317;12432;13567;14525;15410;16397;17493;18594
59; Sudan;729;24095;27275;30950;34545;38903;43849;10103;12085;13677;15515;17232;19425;21907;10044;12010;13598;15434;17313;19478;21942
60; Tunisia;788;9125;9708;10107;10635;11180;11819;4152;4609;4889;5058;5303;5542;5861;4091;4517;4819;5048;5332;5638;5958
61; Western Sahara;732;256;314;438;480;526;597;114;133;164;231;253;276;312;103;123;150;207;227;250;285
62;Southern Africa;913;47358;51444;54645;58383;62985;67504;20758;23312;25293;26871;28737;31023;33214;21288;24046;26151;27774;29646;31962;34290
63; Botswana;72;1469;1643;1799;1987;2121;2352;615;706;795;875;972;1021;1139;671;763;848;924;1015;1100;1213
64; Eswatini;748;927;1005;1031;1065;1104;1160;389;442;483;489;502;532;570;433;485;522;541;563;572;590
65; Lesotho;426;1899;2033;1996;1996;2059;2142;778;923;977;964;970;1012;1057;926;976;1056;1032;1026;1047;1085
66; Namibia;516;1628;1795;1938;2119;2315;2541;690;785;865;935;1024;1120;1232;743;843;929;1003;1095;1194;1309
67; South Africa;710;41436;44968;47881;51217;55386;59309;18286;20455;22172;23607;25270;27337;29216;18515;20980;22796;24273;25947;28049;30093
68;Western Africa;914;205692;234749;267895;307040;351718;401861;90312;102991;117611;134342;154153;176806;202280;90223;102700;117138;133553;152888;174911;199581
69; Benin;204;5906;6866;7982;9199;10576;12123;2424;2895;3383;3955;4569;5270;6054;2555;3011;3483;4027;4630;5306;6069
70; Burkina Faso;854;10090;11608;13422;15605;18111;20903;4306;4943;5702;6622;7738;9019;10445;4505;5147;5906;6800;7868;9092;10459
71; Cabo Verde;132;386;428;463;493;525;556;160;186;206;225;246;263;279;178;201;222;238;247;262;277
72; C�te d'Ivoire;384;14200;16455;18355;20533;23226;26378;6208;7369;8479;9379;10427;11747;13300;5717;6831;7976;8975;10106;11479;13078
73; Gambia;270;1129;1318;1544;1793;2086;2417;477;564;656;767;890;1035;1199;479;564;661;777;903;1051;1218
74; Ghana;288;17014;19279;21815;24780;27849;31073;7438;8581;9731;11019;12533;14105;15750;7335;8433;9548;10795;12246;13744;15323
75; Guinea;324;7270;8241;9110;10192;11432;13133;3049;3484;3934;4343;4858;5475;6353;3303;3786;4307;4766;5334;5957;6780
76; Guinea-Bissau;624;1089;1201;1345;1523;1737;1968;471;527;581;649;738;846;963;504;562;620;696;785;891;1005
77; Liberia;430;2045;2848;3218;3891;4472;5058;1032;1017;1420;1609;1948;2244;2543;1044;1028;1428;1609;1943;2229;2515
78; Mali;466;9586;10946;12776;15049;17439;20251;4171;4740;5428;6358;7517;8720;10145;4279;4845;5518;6417;7532;8719;10106
79; Mauritania;478;2314;2630;3024;3494;4046;4650;1010;1146;1308;1508;1747;2028;2335;1024;1167;1322;1516;1747;2019;2315
80; Niger;562;9490;11332;13624;16464;20002;24207;3925;4672;5613;6783;8227;10030;12170;4102;4818;5718;6841;8237;9972;12036
81; Nigeria;566;107948;122284;138865;158503;181137;206140;47897;54345;61648;70121;80161;91721;104470;47316;53603;60635;68744;78342;89417;101670
82; Saint Helena*;654;6;6;5;5;6;6;..;..;..;..;..;..;..;..;..;..;..;..;..;..
83; Senegal;686;8690;9798;11090;12678;14578;16744;3746;4311;4813;5417;6172;7089;8171;3780;4380;4984;5673;6506;7489;8573
84; Sierra Leone;694;4304;4585;5646;6416;7172;7977;2133;2130;2274;2805;3193;3574;3981;2187;2174;2311;2841;3223;3598;3996
85; Togo;768;4226;4924;5612;6422;7323;8279;1862;2080;2432;2777;3186;3639;4119;1913;2147;2493;2835;3236;3685;4159
